,sentence
43349,has neither the charisma nor the natural affability that has made tucker a star 
43350,frames  profound ethical and philosophical questions in the form of dazzling pop entertainment 
43351,cancer 
43352,a wonderful life marathons and bored 
43353,clicheridden film 
43354,a solid  unassuming drama  
43355,that the bulk of the movie centers on the wrong character 
43356, it s clear that washington most certainly has a new career ahead of him 
43357,has a terrific look 
43358,thriller with enough unexpected twists to keep our interest 
43359,there are scenes of cinematic perfection that steal your heart away  
43360,noble 
43361,they are in this tepid genre offering 
43362,fails to provoke them  
43363,left me feeling refreshed and hopeful  
43364,better at fingering problems than finding solutions 
43365,better than the phantom menace 
43366,is definitely its screenplay  both for the rhapsodic dialogue that jumps off the page  and for the memorable character creations  
43367,demonstrates just how far his storytelling skills have eroded  
43368,be underestimated 
43369,the story is just too clichéd and too often strains credulity 
43370,a flourish 
43371,s neither too erotic nor very thrilling  either  
43372,quickcut edits 
43373,family film sequel 
43374,an affectionately goofy satire that s unafraid to throw elbows when necessary 
43375,in middleoftheroad blandness 
43376,than a halfhearted fluke 
43377,has created a film that one can honestly describe as looking  sounding and simply feeling like no other film in recent history  
43378,proves himself a deft pace master and stylist  
43379,fun and funny in the middle  though somewhat less hardhitting 
43380,of exploiting molestation for laughs 
43381, possession   based on the book by as byatt  demands that labute deal with the subject of love headon  trading in his cynicism for reverence and a little wit 
43382,steven soderbergh does nt remake andrei tarkovsky s solaris so much as distill it  
43383,like coming into a longrunning  wellwritten television series where you ve missed the first halfdozen episodes and probably wo nt see the next six  
43384,that van wilder does little that is actually funny with the material 
43385,the film just might turn on many people to opera  in general 
43386,sprung to life 
43387,history in perspective 
43388,could nt help but feel the wasted potential of this slapstick comedy 
43389,rather listless amble 
43390,costner s warmmilk persona is just as illfitting as shadyac s perfunctory directing chops  and some of the more overtly silly dialogue would sink laurence olivier  
43391,is nt very effective 
43392,he s easy to like and always leaves us laughing 
43393,it must be the end of the world  
43394,schlocky creature 
43395,feels like a copout 
43396,a cruel deception carried out by men of marginal intelligence  with reactionary ideas about women and a total lack of empathy 
43397,finesse 
43398,howard and his costars all give committed performances  but they re often undone by howard s selfconscious attempts to find a  literary  filmmaking style to match his subject 
43399,schneidermeister  makin  a fool of himself  losin  his fan base 
43400,loosely speaking  we re in all of me territory again  and 
43401,highlypraised 
43402,a notsodivine secrets of the yaya sisterhood with a hefty helping of refried green tomatoes  
43403,are idiosyncratic enough to lift the movie above its playwriting 101 premise 
43404,oppressively heavy 
43405,carries the day with impeccable comic timing  raffish charm and piercing intellect  
43406,achieves its main strategic objective  
43407,another best of the year selection 
43408,sad nonsense  this 
43409,uproarious humor with an underlying seriousness that sneaks up on the viewer  providing an experience that is richer than anticipated  
43410,to grab the old lady at the end of my aisle s walker and toss it at the screen in frustration 
43411,an inexplicable nightmare  right down to the population 
43412,something a little more special behind it  
43413,the awkward interplay and utter lack of chemistry between chan and hewitt 
43414,inventive  consistently intelligent and 
43415,sure where selfpromotion ends and the truth begins 
43416,as the protagonists struggled 
43417,melodrama  gored bullfighters  comatose ballerinas  with subtly kinky bedside vigils and sensational denouements 
43418,of hype 
43419,an odd show  pregnant with moods  
43420,should have been worth cheering as a breakthrough but is devoid of wit and humor  
43421,refreshingly forthright 
43422,perversely undercuts the joie de vivre even as he creates it  giving the movie a mournful undercurrent that places the goodtime shenanigans in welcome perspective  
43423,from the dull 
43424,in the power of the huston performance  which seems so larger than life and yet so fragile 
43425,are for children and dog lovers 
43426,that it is nearly impossible to look at or understand 
43427,excels as the enigmatic mika and anna mouglalis is a stunning new young talent in one of chabrol s most intense psychological mysteries  
43428,a heartfelt romance for teenagers 
43429,i did nt find much fascination in the swinging  
43430,elegant  witty and beneath a prim exterior unabashedly romantic 
43431,watching the powerpuff girls movie  my mind kept returning to one anecdote for comparison  the cartoon in japan that gave people seizures  
43432,with most of the big summer movies 
43433,gift 
43434,endure almost unimaginable horror 
43435,to abandon the theater 
43436,the predictable parent vs child comingofage theme 
43437,progressed as nicely as  wayne 
43438,this oscarnominated documentary takes you there  
43439,beats new life into it 
43440,splendid singing 
43441,a long time that made me want to bolt the theater in the first 10 minutes 
43442,do nt really care for the candidate 
43443,are not at all entertaining 
43444,deliberately and devotedly constructed  far from heaven is too picture postcard perfect  too neat and new pinlike  too obviously a recreation to resonate  
43445,stale plot and pornographic way 
43446,the selfserious equilibrium makes its point too well  a movie  like life  is nt much fun without the highs and lows  
43447,pottymouthed enough for pg13  yet not as hilariously raunchy as south park  this strangely schizo cartoon seems suited neither to kids or adults  
43448,only the most practiced curmudgeon could fail to crack a smile at 
43449,in which the talent is undeniable 
43450,what gives human nature its unique feel 
43451,paced at a speed that is slow to those of us in middle age and 
43452,s an experience in understanding a unique culture that is presented with universal appeal  
43453,together  time out and human resources  establish mr cantet as france s foremost cinematic poet of the workplace  
43454,well established 
43455, they finally feel absolutely earned 
43456,the most pitiful directing 
43457,a moving and solidly entertaining comedydrama that should bolster director and cowriter juan josé campanella s reputation in the united states  
43458, stealing harvard is a smorgasbord of soliloquies about nothing delivered by the former mr drew barrymore  
43459,giant william randolph hearst 
43460,relaxed in its perfect quiet pace and proud in its message 
43461,based on ugly ideas instead of ugly behavior  
43462,an infomercial for ram dass s latest book 
43463,long on twinklyeyed closeups and short on shame 
43464,of story and his juvenile camera movements 
43465,a temperamental child begging for attention  giving audiences no reason to truly care for its decrepit freaks beyond the promise of a reprieve from their incessant whining 
43466,bolstered by exceptional performances 
43467,dogpaddle in the mediocre end of the pool 
43468,if that does nt clue you in that something s horribly wrong  nothing will  
43469,at least it s a fairly impressive debut from the director  charles stone iii  
43470,dark  intelligent warning cry 
43471,is far from disappointing  offering an original 
43472,lies  
43473,could just rent those movies instead  let alone seek out a respectable new one 
43474,she may not be real  but the laughs are 
43475,have thought possible 
43476,fluid 
43477,juliette binoche s sand is vivacious  but it s hard to sense that powerhouse of 19thcentury prose behind her childlike smile  
43478,an emotionally and spiritually compelling journey 
43479,released the outtakes theatrically and used the film as a bonus feature on the dvd 
43480,it pretends to expose the life of male hustlers 
43481,the spirit 
43482, irredeemably awful  
43483,unfolds as one of the most politically audacious films of recent decades 
43484, bowel movements than this longontheshelf  pointandshoot exercise in gimmicky crime drama 
43485,nettelbeck  has a pleasing way with a metaphor  
43486,snoozer  
43487,a heavy stench 
43488,is so slight 
43489,unnecessary films 
43490,at its visual delights 
43491,leaving you with some laughs and a smile on your face 
43492,a fascinating curiosity piece 
43493,amiable and committed 
43494,hop beat 
43495,the ensemble gives it a buoyant delivery 
43496,abandon all hope of a good movie ye who enter here 
43497,detailing 
43498,about bad cinema 
43499,boredom to the point 
43500,perfect wildean actor 
43501,with impeccable comic timing  raffish charm and piercing intellect 
43502,do nt feel the least bit ashamed in admitting that my enjoyment came at the expense of seeing justice served  even if it s a dish that s best served cold  
43503,that finally returns de palma to his pulpy thrillers of the early 80s 
43504,an emotionally satisfying exploration of the very human need 
43505,should be complaining when a film clocks in around 90 minutes these days 
43506,really cool 
43507,it was particularly funny 
43508,for conveying the way tiny acts of kindness make ordinary life survivable 
43509,superhero 
43510,clichés and borrowed images 
43511,possibilities which imbue the theme with added depth and resonance 
43512,is a must  
43513,accessible to a chosen few  standoffish to everyone else  and smugly suggests a superior moral tone is more important than filmmaking skill 
43514,assured  vital 
43515,tediously exasperating 
43516,of life and small delights 
43517, and better  
43518,has the air of a surprisingly juvenile lark  a popinfluenced prank whose charms are immediately apparent and wear thin with repetition 
43519,general family chaos to which anyone can relate 
43520,technically sumptuous but 
43521,an effectively chilling guilty pleasure 
43522,saved from 
43523,a space station in the year 2455 can be crossed off the list of ideas for the inevitable future sequels  hey  do nt shoot the messenger  
43524,as banal as the telling may be  and at times  all my loved ones more than flirts with kitsch  the tale commands attention  
43525,only now it s begun to split up so that it can do even more damage 
43526,aground after being snared in its own tangled plot 
43527, the old mib label stands for milder is nt better  
43528,stale and uninspired  
43529,including the assumption that  crazy  people are innocent  childlike and inherently funny 
43530,priggish  lethargically paced parable of renewal  
43531,makes it look like a masterpiece 
43532,content to recycle images and characters that were already tired 10 years ago 
43533,of a good time 
43534,a spiffy animated feature 
43535,the best sports movie 
43536,the troubling thing about clockstoppers 
43537,picture postcard perfect  too neat and new pinlike 
43538,prove that  zany  does nt necessarily mean  funny 
43539,quirky and recessive charms 
43540,surprise us with plot twists 
43541,makes this a high water mark for this genre 
43542,badlyrendered 
43543, hopkins  does nt so much phone in his performance as fax it  
43544,s suspenseful enough for older kids but not too scary 
43545,gives us the perfect starting point for a national conversation about guns  violence  and fear 
43546,make this an eminently engrossing film 
43547,let crocodile hunter steve irwin do what he does best 
43548,work better 
43549,about schmidt is undoubtedly one of the finest films of the year  
43550,with the emphasis on selfempowering schmaltz and bigwave surfing that gives pic its title an afterthought 
43551,most importantly 
43552,should scare any sane person away 
43553,life s wonderment 
43554,could desire to the cheap  graceless  hackneyed scifi serials of the 30s and 40s 
43555,not only fails on its own  but makes you secondguess your affection for the original 
43556,remains brightly optimistic  
43557,scoobydoo does nt know if it wants to be a retrorefitting exercise in campy recall for older fans or a silly  nickelodeonesque kiddie flick  
43558,mentally  superior  
43559,its sleazy moralizing 
43560,amusedly  
43561,engaging  
43562,is so convincing that by movies  end you ll swear you are wet in some places and feel sand creeping in others 
43563,like the imaginary sport it projects onto the screen  loud  violent and mindless 
43564,yet unforgivingly inconsistent 
43565,wo nt have any trouble getting kids to eat up these veggies  
43566,in favor 
43567, sadly  
43568,s all about anakin  and the lustrous polished visuals rich in color and creativity and  of course  special effect  
43569,affectionately 
43570,a great impression 
43571, the movie benefits from having a real writer plot out all of the characters  moves and overlapping story  
43572,it s hard to imagine anybody ever being  in the mood  to view a movie as harrowing and painful as the grey zone 
43573,a clumsily manufactured exploitation flick  
43574,farts  boobs 
43575,joyous documentary  
43576,crudely 
43577,another wholly unnecessary addition 
43578,want to see over and over again 
43579,a rather bland affair  
43580,of the nincompoop benigni persona 
43581,say that this vapid vehicle is downright doltish and uneventful 
43582,might just be better suited to a night in the living room than a night at the movies 
43583,a film about female friendship that men can embrace and women 
43584,finally succeeds in diminishing his stature from oscarwinning master to lowly studio hack  
43585,with pitifully few real laughs 
43586,one of those movies barely registering a blip on the radar screen of 2002 
43587,as faithful portraiture 
43588,according to the script  grant and bullock s characters are made for each other  
43589,one of the best ensemble casts of the year 
43590,is nicely shot  welledited and features a standout performance by diane lane 
43591,makes less sense than the bruckheimeresque american action flicks it emulates 
43592,is a loose collection of notsofunny gags  scattered moments of lazy humor 
43593,for those who like quirky  slightly strange french films  this is a must  
43594,runs 163 minutes 
43595,is devoid of wit and humor 
43596,that it s tempting just to go with it for the ride 
43597,it never lacks in eyepopping visuals 
43598,a serious minded patience  respect and affection 
43599,uncharismatically 
43600,that s suitable for all ages  a movie that will make you laugh 
43601,enjoyable ease 
43602,it s got the brawn  but not the brains  
43603,pretty good little movie  
43604,another classic 
43605,rehashes to feed to the younger generations 
43606,lack their idol s energy and passion for detail  
43607,one of this year s very best pictures 
43608,more confused  less interesting and more sloppily 
43609,defend himself 
43610,gets sillier  not scarier 
43611,can make interesting a subject you thought would leave you cold 
43612,does a good job of establishing a time and place  and of telling a fascinating character s story 
43613,its delivery is a complete mess 
43614,snide and 
43615,ache with sadness  the way chekhov is funny  
43616,a compassionate  moving portrait of an american  and an america  always reaching for something just outside his grasp 
43617,long workout 
43618,boom mikes 
43619,so flabby 
43620,half the excitement of balto  
43621,will assuredly 
43622,are nowhere near as vivid as the 19thcentury ones 
43623,debuts by an esteemed writeractor  
43624,walked away from this new version of et just as i hoped i would  with moist eyes 
43625,emphasizes the computer and the cool 
43626,to big box office bucks all but guaranteed 
43627,telling 
43628,tattered and ugly past 
43629,a warm  fuzzy feeling prevails 
43630,the worst film of the year 
43631,brightly colored dreams 
43632,beautifully shaped 
43633,the holocaust escape story 
43634,humble 
43635,something to be said for a studioproduced film that never bothers to hand viewers a suitcase full of easy answers 
43636,but even while his characters are acting horribly  he is always sympathetic  
43637,in which most of the characters forget their lines 
43638,murphy and wilson actually make a pretty good team  
43639,as original and insightful 
43640,brings a beguiling freshness to a comingofage story with such a buoyant  expressive flow of images 
43641,one of the best of a growing strain of daring films  that argue that any sexual relationship that does nt hurt anyone and works for its participants is a relationship that is worthy of our respect 
43642,involving in its bold presentation 
43643,look like a masterpiece 
43644,an enthusiastic charm 
43645,but then again  i hate myself most mornings  
43646,jawdropping action sequences  striking villains  a gorgeous color palette  astounding technology  stirring music 
43647,astonishingly condescending attitude 
43648, it does nt even seem like she tried  
43649,shyamalan should stop trying to please his mom  
43650,demonstrate how desperate the makers of this  we re  doingitfor  thecash  sequel were  
43651,it s hard to shake the feeling that it was intended to be a different kind of film  
43652, do we have that same option to slap her creators because they re clueless and inept  
43653,encompasses many more paths 
43654,the movie is concocted and carried out by folks worthy of scorn  and the nicest thing i can say is that i ca nt remember a single name responsible for it  
43655,stylized humor throughout 
43656,re rooting for the film to hurry up and get to its subjects  deaths just so the documentary will be over 
43657,is the equivalent of french hiphop  which also seems to play on a 10year delay  
43658,to work us over  with second helpings of love  romance  tragedy  false dawns  real dawns  comic relief  two separate crises during marriage ceremonies  and the lush scenery of the cotswolds 
43659,garcía bernal and talancón are an immensely appealing couple 
43660,traps audiences in a series of relentlessly nasty situations 
43661,i know that i ll never listen to marvin gaye or the supremes the same way again 
43662,not exaggerated enough to be a parody of grossout flicks  college flicks  or even flicks in general  
43663,you can enjoy much of jonah simply  and gratefully  as laughoutloud lunacy with a pronounced monty pythonesque flavor  
43664,inside the massive waves that lifts blue crush into one of the summer s most pleasurable movies 
43665,takes a simple premise and carries it to unexpected heights 
43666,are lacking 
43667, the power of this movie is undeniable  
43668,exceptional 
43669,its position 
43670,like shrek  spirit s visual imagination reminds you of why animation is such a perfect medium for children  because of the way it allows the mind to enter and accept another world  
43671,created a substantive movie out of several cliched movie structures  the road movie  the comingofage movie  and the teenage sex comedy  
43672,frothing 
43673,brilliant performances 
43674,the movie s messages are quite admirable 
43675,perfect family film 
43676,makes the formula fresh again 
43677,to forget that they are actually movie folk 
43678,gaping enough to pilot 
43679,are very expressive 
43680,beating the austin powers films at their own game 
43681,pokes  provokes 
43682,the procession 
43683,is the fact that there is nothing distinguishing in a randall wallace film  
43684,the needlessly poor quality of its archival prints and film footage 
43685,this movie may not have the highest production values you ve ever seen  but it s the work of an artist  one whose view of america  history and the awkwardness of human life is generous and deep 
43686, they ll probably run out screaming  
43687,sharply comic 
43688, tries  
43689,jolt you out of your seat a couple of times  give you a few laughs  
43690,a time when commercialism has squeezed the life out of whatever idealism american moviemaking ever had 
43691,like it 
43692,advantage 
43693,could just feel the screenwriter at every moment  tap  tap  tap  tap  tapping away  on this screenplay 
43694,can depress you about life itself  
43695,hardtopredict and absolutely essential chemistry 
43696,to grow boring  which proves that rohmer still has a sense of his audience 
43697,halfway mark it takes an abrupt turn into glucose sentimentality and laughable contrivance  
43698,it s dark but has wonderfully funny moments  
43699,guns  violence 
43700,the silliness 
43701,a solid formula 
43702,entirely wholesome  
43703,most of the movie s success 
43704,is so poorly paced you could fit all of pootie tang in between its punchlines 
43705,confident filmmaking 
43706,respects 
43707,trickery 
43708,managed to convey a tiny sense of hope 
43709,is surprisingly brilliant  deftly sewing together what could have been a confusing and horrifying vision into an intense and engrossing headtrip  
43710,alexandre dumas classic 
43711,is more likely to induce sleep than fright 
43712,a tragic love story 
43713,any more than the gorgeous piano and strings on the soundtrack can drown out the tinny selfrighteousness of his voice 
43714,focus  point and purpose 
43715,capable 
43716,mortal awareness 
43717,the new insomnia is a surprisingly faithful remake of its chilly predecessor  
43718,a pathetic  endearing hero 
43719,if allen  at 66  has stopped challenging himself 
43720,it is an uneven film for the most part 
43721,contrived pastiche of caper clichés  
43722,cold  gray  antiseptic and emotionally desiccated 
43723,seagal ran out of movies years ago  and 
43724,exudes the fizz of a busby berkeley musical and the visceral excitement of a sports extravaganza  
43725,lasker s canny  meditative script distances sex and love  as byron and luther 
43726,the really bad blair witch project 
43727,make such a worthless film 
43728,collapses 
43729,just another combination of bad animation and mindless violence  lacking the slightest bit 
43730,will be on video long before they grow up and you can wait till then  
43731,the movie attempts to mine laughs from a genre  the gangstercrime comedy  that wore out its welcome with audiences several years ago  and its cutesy reliance on moviespecific cliches is nt exactly endearing  
43732,twinkling 
43733,endorses 
43734,mired in a shabby script that piles layer upon layer of action man cliché atop wooden dialogue and a shifting tone that falls far short of the peculiarly moral amorality of  woo s  best work 
43735,you exit the theater 
43736,selfaware  often selfmocking  intelligence 
43737,creep the living hell out of you 
43738,like the guys 
43739,gets under our skin and draws us in long before the plot kicks into gear 
43740,the ridiculous dialog 
43741,is definitely a cut above the rest  
43742,boozy 
43743,there is nothing redeeming about this movie  
43744,be when he is not more lucratively engaged in the shameless selfcaricature of  analyze this   1999  and  analyze that   promised  or threatened  for later this year 
43745,brilliant and macabre 
43746,endearing and easy 
43747,a ponderous and pretentious endeavor that s unfocused and tediously exasperating 
43748,slapped together 
43749,a reminder of how they used to make movies  but also how they sometimes still can be made  
43750,sag in certain places 
43751,a thrill 
43752,deeply affecting film 
43753,no more racist portraits of indians  for instance  
43754,avary s failure to construct a story with even a trace of dramatic interest 
43755,the problem with movies about angels is they have a tendency to slip into hokum  
43756,has a lot of charm  
43757,two ideas 
43758,absorbing documentary 
43759,the characters are paper thin 
43760,is worth your time  especially 
43761,destroy 
43762,queasy 
43763,the emotion is impressively true for being so hotblooded  and both leads are up to the task 
43764, a plotline that s as lumpy as twoday old porridge  the filmmakers  paws  sad to say  were all over this  unbearable  project  
43765,the action is stilted and 
43766,about telling what at heart is a sweet little girl 
43767,its strengths 
43768,a plodding mess 
43769,robert harmon s lessismore approach delivers real bumpin  thenight chills  
43770,the kids in the audience at the preview screening seemed bored  cheering the pratfalls but little else  their parents  wise folks that they are  read books 
43771,ll find in this dreary mess 
43772,powerful and provocative 
43773,is a just a waste  
43774,is not really a film as much as it is a loose collection of notsofunny gags  scattered moments of lazy humor  
43775,that is even lazier and far less enjoyable  
43776,pleasant in spite of its predictability 
43777,she is a lioness  
43778,of some children who remain curious about each other against all odds 
43779,jostling against farce  thoughtful dialogue elbowed aside by oneliners  and a visual style that incorporates rotoscope animation for no apparent reason except  maybe  that it looks neat 
43780,aims to confuse 
43781,there are nt too many films that can be as simultaneously funny  offbeat and heartwarming  without a thick shmear of the goo  at least   but  elling  manages to do all three quite well  making it one of the year s most enjoyable releases 
43782,finds no way to entertain or inspire its viewers  
43783,comes off winningly 
43784,the best film 
43785,takes a walkingdead  copflick subgenre and beats new life into it  
43786, comedy  scenes 
43787,very pleasing at its best moments 
43788,awkwardly contrived exercise 
43789,two fine actors  morgan freeman and ashley judd 
43790,is an unsettling picture of childhood innocence combined with indoctrinated prejudice  
43791,the more seriousminded concerns 
43792,while the story s undeniably hard to follow 
43793,is not quite the career peak 
43794,can comfortably hold 
43795,it would still be beyond comprehension 
43796,nelson s intentions are good  but 
43797,with a sour taste in one s mouth  and little else 
43798,retrospectively  his most personal work yet  
43799,by on angelina jolie s surprising flair for selfdeprecating comedy 
43800,in painting an unabashedly romantic picture of a nation whose songs spring directly from the lives of the people 
43801,arliss howard s ambitious  moving  and adventurous directorial debut  
43802,talk down to them 
43803,popular 
43804,sure which will take longer to heal  the welt on johnny knoxville s stomach from a riotcontrol projectile or my own tortured psyche 
43805,a disappointment for a movie that should have been the ultimate imax trip 
43806,clichériddled 
43807,is a selfaware  often selfmocking  intelligence  
43808,kill the effect 
43809,feel realistic  
43810,authentically impulsive humor 
43811,s one of the worst of the entire franchise 
43812,a weird little movie 
43813,ve marveled at disney s rendering of water  snow  flames and shadows in a handdrawn animated world  
43814,often hilarious romantic jealousy comedy 
43815,emotionally vapid 
43816,better 
43817,the world s political situation 
43818,forget the misleading title  what s with the unexplained baboon cameo  
43819,who seem barely in the same movie 
43820,serves as a paper skeleton for some very good acting  dialogue  comedy  direction and especially charm  
43821,was only 
43822,a dull girl  that s all 
43823,it squanders chan s uniqueness 
43824,can i admit xxx is as deep as a petri dish and as wellcharacterized as a telephone book but still say it was a guilty pleasure  
43825,hates criticism so much that he refuses to evaluate his own work 
43826,slightly sunbaked and summery mind  sex and lucia 
43827,rising above similar fare 
43828,detailed 
43829,fat  dumb 
43830,hashiguchi vividly captures the way young japanese live now  chafing against their culture s manic mix of millennial brusqueness and undying  traditional politesse  
43831,a tasty masala  
43832,their idol s energy and passion 
43833,re engulfed by it  
43834,the road warrior 
43835,intellectual and emotional pedigree 
43836,a fast paced and suspenseful argentinian thriller 
43837,less funny than it should be and less funny than it thinks it is  
43838,into corny sentimentality 
43839,the cleverest 
43840,is small and shriveled 
43841,by a warmth that is nt faked 
43842, sweet home alabama is nt as funny as you d hoped  
43843,its plot and animation offer daytime tv serviceability  but little more  
43844,of high romance  brought off with considerable wit 
43845,may cause you to bite your tongue to keep from laughing at the ridiculous dialog or the ohso convenient plot twists  
43846,s the kind of underinspired  overblown enterprise that gives hollywood sequels a bad name 
43847,wonderous accomplishment 
43848,emotionally strong and politically potent 
43849,the kind of effectively creepyscary thriller 
43850,jagged  as if filmed directly from a television monitor 
43851,as sand  who brings to the role her pale  dark beauty and characteristic warmth 
43852,rare directors 
43853,it s secondary to american psycho but still has claws enough to get inside you and stay there for a couple of hours  
43854,mr wollter and ms seldhal give strong and convincing performances  but neither reaches into the deepest recesses of the character to unearth the quaking essence of passion  grief and fear  
43855,serves as a painful elegy and sobering cautionary tale 
43856,listless 
43857,ray liotta 
43858,no psychology here  
43859,hardly an objective documentary 
43860,vaunted empathy 
43861,of unfaithful 
43862,pathetic  endearing 
43863,it emerges as another key contribution to the flowering of the south korean cinema 
43864,wisebeyondheryears 
43865,a small gem of a movie that defies classification and is as thoughtprovoking as it is funny  scary and sad  
43866,awkward version 
43867,unhibited 
43868,unbreakable 
43869,tries to grab us  only to keep letting go at all the wrong moments 
43870,strike a chord 
43871,alternates between deadpan comedy and heartbreaking loneliness and is nt afraid to provoke introspection in both its characters and its audience  
43872,fills it with spirit  purpose and emotionally bruised characters who add up to more than body count 
43873,one of those rare films that come by once in a while with flawless amounts of acting  direction  story and pace 
43874,a much shorter cut surely would have resulted in a smoother  more focused narrative without sacrificing any of the cultural intrigue 
43875,could possibly be more contemptuous of the single female population  
43876,it dull  lifeless  and irritating 
43877,moore s  better at fingering problems than finding solutions  
43878,absurdities and inconsistencies 
43879,a smear 
43880,a negligible work of manipulation  an exploitation piece doing its usual worst to guilttrip parents 
43881,s nothing remotely topical or sexy here  
43882,in the travails of creating a screenplay 
43883,the writerdirector of this little  18 million charmer  which may not be cuttingedge indie filmmaking 
43884,this time  the hype is quieter  and while the movie is slightly less successful than the first  it s still a rollicking good time for the most part  
43885,a summer entertainment adults can see without feeling embarrassed  but it could have been more  
43886,children  a heartfelt romance for teenagers and a compelling argument about death 
43887,elvira fans 
43888,s nothing to gain from watching they 
43889, the movie bogs down in rhetoric and cliché  
43890,too dark to be decipherable 
43891,took three minutes of dialogue  30 seconds of plot and 
43892,with all the blanket statements and dimestore ruminations on vanity 
43893,provides a nice change of mindless pace in collision 
43894,the ideal casting 
43895,too few 
43896,unpredictable  hilarious 
43897,make enough into  an inspiring tale of survival wrapped in the heartpounding suspense of a stylish psychological thriller  
43898,the insightful writerdirector 
43899,wildly inventive 
43900, girls ca nt swim represents an engaging and intimate first feature by a talented director to watch  and it s a worthy entry in the french comingofage genre  
43901,elegantly produced and expressively performed  the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy  
43902,the movie is such a blip on the year s radar screen that it s tempting just to go with it for the ride  
43903,observant  unfussily poetic 
43904,sincerity 
43905,weird  thinking about all the bad things in the world  like puppies with broken legs  and butterflies that die  and movies starring pop queens 
43906,show real heart 
43907,a sensitive and astute first feature by annesophie birot  
43908,roiling 
43909,as an exploratory medical procedure or an autopsy 
43910,unstable 
43911,this crude 
43912,the early and middle passages are surprising in how much they engage and even touch us  
43913, by the time it s done with us  mira nair s new movie has its audience giddy with the delight of discovery  of having been immersed in a foreign culture only to find that human nature is pretty much the same all over  
43914,do nt care what kind of sewage they shovel into their mental gullets to simulate sustenance 
43915,look almost shakespearean  both in depth and breadth  after watching this digitaleffectsheavy  supposed familyfriendly comedy 
43916,could have been a confusing and horrifying vision into an intense and engrossing headtrip 
43917,is mostly a lump of runofthemill profanity sprinkled with a few remarks so geared toward engendering audience sympathy that you might think he was running for office  or trying to win over a probation officer 
43918,the movie s major and most devastating flaw 
43919,solid scifi thriller 
43920,otherwise  this could be a passable date film  
43921,the cold light 
43922,a subzero version 
43923,a great deal of fun 
43924,this deeply moving french drama develops a startling story that works both as a detailed personal portrait and as a rather frightening examination of modern times  
43925,blade 2 
43926,capable of charming the masses with star power  a popinduced score and sentimental moments that have become a spielberg trademark 
43927,neither as scaryfunny as tremors 
43928,moronic 
43929,with a grand whimper 
43930,each scene drags  underscoring the obvious  and sentiment is slathered on top 
43931,most exciting action films 
43932,press the delete key  
43933,ravishing 
43934,incapable of controlling his crew 
43935,of a paranoid and unlikable man 
43936,really horrible drek  
43937,an interesting psychological game of catandmouse  threedimensional characters and believable performances all add up to a satisfying crime drama  
43938,well cast and well directed  a powerful drama with enough sardonic wit to keep it from being maudlin  
43939,modern master 
43940,the acting is amateurish  the cinematography is atrocious  the direction is clumsy  the writing is insipid and the violence is at once luridly graphic and laughably unconvincing 
43941,is the film roman polanski may have been born to make 
43942,imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama 
43943,who play their roles with vibrant charm 
43944,the french director has turned out nearly 212 hours of unfocused  excruciatingly tedious cinema that  half an hour in  starts making water torture seem appealing  
43945,remind us of how very bad a motion picture can truly be 
43946,neither revelatory nor truly edgy  merely crassly flamboyant and comedically labored  
43947,best movie 
43948,buried somewhere inside its fabric  but never clearly seen 
43949,would be great to see this turd squashed under a truck  preferably a semi 
43950,terrible  banal dialogue 
43951,bad 
43952,good old fashioned spooks 
43953,kiddie entertainment  sophisticated wit 
43954,killing its soul 
43955,it s exploitive without being insightful  
43956,however 
43957,s unburdened by pretensions to great artistic significance 
43958,went back to newcastle  the first half of gangster no 1 drips with style and  at times  blood  
43959,still rapturous after all these years  cinema paradiso stands as one of the great films about movie love  
43960,is an entirely foreign concept 
43961,keeping the balance between the fantastic and the believable 
43962,one of the most curiously depressing 
43963,i ll buy the criterion dvd  
43964,do well to cram earplugs 
43965,recent successes 
43966,pleasure 
43967,its emphasis on caring for animals and respecting other cultures is particularly welcome 
43968,us right into the center of that world 
43969,like schindler s list 
43970,the modern day 
43971,does nt deserve the energy it takes to describe how bad it is 
43972,oddly sweet comedy 
43973,with flashes of warmth and gentle humor 
43974,boldly  confidently orchestrated  aesthetically and sexually 
43975,thoughtful examination 
43976,an engaging and intimate first feature 
43977,the theme does nt drag an audience down 
43978,contrived and exploitative for the art houses and too cynical  small and decadent for the malls  
43979,the explosion essentially ruined  or  rather  overpowered  the fiction of the movie for me  
43980,a vivid  thoughtful  unapologetically raw comingofage tale full of sex  drugs and rock 
43981,s destined to win a wide summer audience through wordofmouth reviews and  not far down the line  to find a place among the studio s animated classics 
43982,despite its flaws  crazy as hell marks an encouraging new direction for la salle  
43983,none of the crackle of  fatal attraction    9 12 weeks   or even  indecent proposal  
43984,s lovely 
43985,one of mr chabrol s subtlest works 
43986,stirring 
43987,the career peak 
43988, with his brawny frame and cool  composed delivery  fits the bill perfectly 
43989,unfunny one 
43990,they sometimes still can be made 
43991,remarkable and novel 
43992,effective film 
43993,most enjoyable releases 
43994,one it follows into melodrama and silliness 
43995,boiled hollywood argot 
43996,brings a beguiling freshness 
43997,the small screen 
43998,powerful and 
